invoice_no,stock_code,description,quantity,invoice_date,unit_price_gbp,customer_id,country
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,2.55,17511,United Kingdom
536537,22333,RETROSPOT PARTY BAG + STICKER SET,8,2010-12-01 13:51:00,1.65,15922,United Kingdom
536562,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 15:08:00,8.5,13468,United Kingdom
536592,20725,LUNCH BAG RED RETROSPOT,2,2010-12-01 17:06:00,4.21,,United Kingdom
536627,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-02 10:53:00,2.95,15658,United Kingdom
536635,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-02 11:22:00,3.75,15955,United Kingdom
536798,21911,GARDEN METAL SIGN ,12,2010-12-02 15:55:00,1.65,17838,United Kingdom
536862,22188,BLACK HEART CARD HOLDER,1,2010-12-03 11:13:00,8.47,,United Kingdom
536876,85169D,PINK LOVE BIRD CANDLE,1,2010-12-03 11:36:00,2.51,,United Kingdom
536947,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2010-12-03 12:29:00,1.45,13013,United Kingdom
536981,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-03 14:26:00,3.75,14723,United Kingdom
537047,22080,RIBBON REEL POLKADOTS ,1,2010-12-05 11:02:00,1.65,13069,United Kingdom
537050,22712,CARD DOLLY GIRL ,12,2010-12-05 11:10:00,0.42,14800,United Kingdom
537135,21481,FAWN BLUE HOT WATER BOTTLE,2,2010-12-05 12:35:00,2.95,17059,United Kingdom
537201,84341B,SMALL PINK MAGIC CHRISTMAS TREE,12,2010-12-05 14:19:00,0.85,12472,Germany
537237,21916,SET 12 RETRO WHITE CHALK STICKS,3,2010-12-06 09:58:00,0.85,,United Kingdom
537240,22607,WOODEN ROUNDERS GARDEN SET ,1,2010-12-06 10:08:00,16.98,,United Kingdom
537374,22744,MAKE YOUR OWN MONSOON CARD KIT,1,2010-12-06 12:55:00,2.95,17259,United Kingdom
537375,22466,FAIRY TALE COTTAGE NIGHTLIGHT,6,2010-12-06 12:55:00,1.95,17019,United Kingdom
537390,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-12-06 13:47:00,1.25,16658,United Kingdom
537440,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2010-12-06 17:16:00,8.5,17869,United Kingdom
537489,22551,PLASTERS IN TIN SPACEBOY,12,2010-12-07 11:33:00,1.65,17017,United Kingdom
537758,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-12-08 11:41:00,2.1,16122,United Kingdom
537955,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-12-09 11:28:00,2.95,16782,United Kingdom
538035,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,3,2010-12-09 13:03:00,1.25,16065,United Kingdom
538071,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2010-12-09 14:09:00,4.21,,United Kingdom
538170,22652,TRAVEL SEWING KIT,2,2010-12-09 19:32:00,1.65,13969,United Kingdom
538177,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,3,2010-12-10 09:51:00,3.36,,United Kingdom
538177,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,6,2010-12-10 09:51:00,4.21,,United Kingdom
538183,22627,MINT KITCHEN SCALES,2,2010-12-10 10:21:00,8.5,16265,United Kingdom
538349,22942,CHRISTMAS LIGHTS 10 SANTAS ,1,2010-12-10 14:59:00,8.47,,United Kingdom
538364,21865,PINK UNION JACK  PASSPORT COVER ,1,2010-12-10 17:26:00,2.1,14448,United Kingdom
538524,22494,EMERGENCY FIRST AID TIN ,2,2010-12-13 09:35:00,2.51,,United Kingdom
538651,22261,FELT EGG COSY WHITE RABBIT ,1,2010-12-13 15:07:00,0.85,15311,United Kingdom
538799,21481,FAWN BLUE HOT WATER BOTTLE,1,2010-12-14 11:48:00,2.95,15039,United Kingdom
538855,85135C,RED DRAGONFLY HELICOPTER,4,2010-12-14 13:50:00,7.95,16503,United Kingdom
538878,22726,ALARM CLOCK BAKELIKE GREEN,8,2010-12-14 15:43:00,3.75,13767,United Kingdom
538890,22153,ANGEL DECORATION STARS ON DRESS,5,2010-12-14 16:39:00,0.42,12867,United Kingdom
539053,22093,MOTORING TISSUE BOX,1,2010-12-15 16:32:00,1.25,16725,United Kingdom
539311,22670,FRENCH WC SIGN BLUE METAL,24,2010-12-16 17:53:00,1.25,14643,United Kingdom
539325,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-17 08:20:00,2.95,13004,United Kingdom
539332,22197,SMALL POPCORN HOLDER,200,2010-12-17 09:45:00,0.72,12931,United Kingdom
539434,85088,CANDY SPOT HAND BAG,1,2010-12-17 14:41:00,4.21,,United Kingdom
539436,22317,FIVE CATS HANGING DECORATION,1,2010-12-17 14:49:00,5.91,,United Kingdom
539437,22314,OFFICE MUG WARMER CHOC+BLUE,1,2010-12-17 14:54:00,5.91,,United Kingdom
539437,84949,SILVER HANGING T-LIGHT HOLDER,1,2010-12-17 14:54:00,3.36,,United Kingdom
539451,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-17 16:59:00,11.02,,United Kingdom
539451,90073,VINTAGE ENAMEL & CRYSTAL EARRINGS,1,2010-12-17 16:59:00,5.09,,United Kingdom
539453,20867,PINK ROSE FABRIC MIRROR,1,2010-12-17 17:08:00,2.51,,United Kingdom
539468,82483,WOOD 2 DRAWER CABINET WHITE FINISH,10,2010-12-19 13:31:00,5.95,15044,United Kingdom
539475,22197,SMALL POPCORN HOLDER,1,2010-12-19 14:41:00,0.85,16686,United Kingdom
539595,22593,CHRISTMAS GINGHAM STAR,1,2010-12-20 13:43:00,1.66,,United Kingdom
539722,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2010-12-21 13:45:00,2.1,14911,EIRE
539739,22502,PICNIC BASKET WICKER SMALL,1,2010-12-21 15:19:00,8.47,,United Kingdom
539739,22719,GUMBALL MONOCHROME COAT RACK,1,2010-12-21 15:19:00,2.51,,United Kingdom
539933,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-23 11:24:00,3.75,15235,United Kingdom
539958,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2010-12-23 13:26:00,3.36,,United Kingdom
539958,22263,FELT EGG COSY LADYBIRD ,4,2010-12-23 13:26:00,0.81,,United Kingdom
539988,22766,PHOTO FRAME CORNICE,2,2010-12-23 16:06:00,2.95,18116,United Kingdom
540154,47594A,CAROUSEL DESIGN WASHBAG,1,2011-01-05 11:30:00,1.66,,United Kingdom
540352,82552,WASHROOM METAL SIGN,1,2011-01-06 14:27:00,2.51,,United Kingdom
540357,22629,SPACEBOY LUNCH BOX ,12,2011-01-06 15:14:00,1.95,13093,United Kingdom
540418,22201,FRYING PAN BLUE POLKADOT,1,2011-01-07 11:04:00,3.36,,United Kingdom
540551,22117,METAL SIGN HER DINNER IS SERVED ,2,2011-01-10 09:43:00,1.66,,United Kingdom
540821,21787,RAIN PONCHO RETROSPOT,1,2011-01-11 13:16:00,1.66,,United Kingdom
540977,90116,FRUIT SALAD BAG CHARM,1,2011-01-12 15:01:00,2.51,,United Kingdom
541011,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-01-13 11:26:00,0.65,15447,United Kingdom
541215,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-14 13:42:00,2.95,14329,United Kingdom
541279,22132,RED LOVE HEART SHAPE CUP,12,2011-01-17 11:55:00,0.85,18223,United Kingdom
541422,21209,MULTICOLOUR HONEYCOMB FAN,2,2011-01-17 17:48:00,1.63,,United Kingdom
541485,21161,KEEP OUT BOYS DOOR HANGER ,1,2011-01-18 13:05:00,1.45,18118,United Kingdom
541596,21703,BAG 125g SWIRLY MARBLES,5,2011-01-19 16:18:00,0.42,17602,United Kingdom
541604,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-19 17:23:00,8.5,14572,United Kingdom
541695,84913B,MINT GREEN ROSE TOWEL,1,2011-01-20 18:01:00,3.29,,United Kingdom
541711,22960,JAM MAKING SET WITH JARS,36,2011-01-21 11:18:00,3.75,14646,Netherlands
541816,22229,BUNNY WOODEN PAINTED WITH FLOWER ,3,2011-01-21 15:56:00,0.85,17799,United Kingdom
541827,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2011-01-21 17:05:00,3.29,,United Kingdom
541830,22074,6 RIBBONS SHIMMERING PINKS ,1,2011-01-21 17:09:00,0.83,,United Kingdom
541842,85049F,BABY BOOM RIBBONS ,2,2011-01-23 12:07:00,1.25,16085,United Kingdom
541844,22176,BLUE OWL SOFT TOY,4,2011-01-23 12:19:00,2.95,16931,United Kingdom
541854,22367,CHILDRENS APRON SPACEBOY DESIGN,1,2011-01-23 14:58:00,1.95,18283,United Kingdom
541916,22970,LONDON BUS COFFEE MUG,24,2011-01-24 11:34:00,2.55,17861,United Kingdom
541997,22928,YELLOW GIANT GARDEN THERMOMETER,14,2011-01-25 10:38:00,5.95,18077,United Kingdom
542107,22794,SWEETHEART WIRE MAGAZINE RACK,2,2011-01-25 13:38:00,7.95,16222,United Kingdom
542131,22783,SET 3 WICKER OVAL BASKETS W LIDS,8,2011-01-25 15:55:00,7.95,16133,United Kingdom
542229,22333,RETROSPOT PARTY BAG + STICKER SET,8,2011-01-26 13:38:00,1.65,12474,Germany
542369,22631,CIRCUS PARADE LUNCH BOX ,12,2011-01-27 13:08:00,1.95,12645,Germany
542374,22073,RED RETROSPOT STORAGE JAR,4,2011-01-27 13:40:00,3.75,15696,United Kingdom
542530,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-01-28 13:08:00,3.75,15365,United Kingdom
542625,21100,CHARLIE AND LOLA CHARLOTTE BAG,2,2011-01-31 09:50:00,4.13,,United Kingdom
542647,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-01-31 11:46:00,2.95,18245,United Kingdom
542664,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-01-31 12:14:00,5.79,,United Kingdom
542713,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-01-31 13:27:00,2.1,12668,Germany
542789,21754,HOME BUILDING BLOCK WORD,18,2011-02-01 10:38:00,5.45,17511,United Kingdom
543022,21165,BEWARE OF THE CAT METAL SIGN ,3,2011-02-02 14:37:00,1.69,16771,United Kingdom
543044,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,2011-02-03 08:18:00,1.45,17071,United Kingdom
543045,22549,PICTURE DOMINOES,12,2011-02-03 09:04:00,1.45,14309,United Kingdom
543120,48138,DOORMAT UNION FLAG,2,2011-02-03 13:53:00,7.95,13668,United Kingdom
543132,22029,SPACEBOY BIRTHDAY CARD,12,2011-02-03 15:27:00,0.42,15235,United Kingdom
543161,48129,DOORMAT TOPIARY,2,2011-02-03 17:01:00,7.95,14497,United Kingdom
543188,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-02-04 11:45:00,2.95,12567,France
543192,21703,BAG 125g SWIRLY MARBLES,192,2011-02-04 11:55:00,0.42,17381,United Kingdom
543237,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,2011-02-04 13:39:00,4.13,,United Kingdom
543251,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-02-04 14:51:00,2.95,14194,United Kingdom
543273,21122,SET/10 PINK POLKADOT PARTY CANDLES,4,2011-02-06 11:29:00,1.25,16456,United Kingdom
543300,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-02-07 11:42:00,0.55,13334,United Kingdom
543467,22098,BOUDOIR SQUARE TISSUE BOX,1,2011-02-08 14:35:00,2.46,,United Kingdom
543467,22196,SMALL HEART MEASURING SPOONS,3,2011-02-08 14:35:00,1.63,,United Kingdom
543474,48194,DOORMAT HEARTS,1,2011-02-08 15:09:00,7.95,14415,United Kingdom
543518,85032A,ROMANTIC IMAGES GIFT WRAP SET,48,2011-02-09 11:21:00,2.1,12753,Japan
543631,22625,RED KITCHEN SCALES,1,2011-02-10 16:17:00,8.5,14081,United Kingdom
543647,22232,JIGSAW TOADSTOOLS 3 PIECE,3,2011-02-10 19:49:00,1.65,12841,United Kingdom
543647,84231,EASTER BUNNY WITH BASKET ON BACK,2,2011-02-10 19:49:00,0.65,12841,United Kingdom
543653,22362,GLASS JAR PEACOCK BATH SALTS,1,2011-02-11 10:26:00,2.95,14796,United Kingdom
543804,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-02-13 12:17:00,1.25,16434,United Kingdom
543826,21439,BASKET OF TOADSTOOLS,1,2011-02-14 09:41:00,2.46,,United Kingdom
543985,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2011-02-15 09:44:00,4.13,,United Kingdom
544044,85014B,RED RETROSPOT UMBRELLA,2,2011-02-15 12:05:00,5.95,14659,United Kingdom
544106,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-02-16 10:47:00,7.95,14530,United Kingdom
544129,22047,EMPIRE GIFT WRAP,25,2011-02-16 11:54:00,0.42,13199,United Kingdom
C544171,21363,HOME SMALL WOOD LETTERS,-2,2011-02-16 14:13:00,4.95,13001,United Kingdom
544315,21993,FLORAL FOLK STATIONERY SET,1,2011-02-17 14:42:00,2.95,12748,United Kingdom
544330,21901,"KEY FOB , BACK DOOR ",1,2011-02-17 16:59:00,0.65,17576,United Kingdom
544355,22741,FUNKY DIVA PEN,48,2011-02-18 10:53:00,0.85,12714,France
544409,22760,"TRAY, BREAKFAST IN BED",1,2011-02-18 13:32:00,12.75,16265,United Kingdom
544449,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-02-20 12:14:00,4.95,16115,United Kingdom
544450,22378,WALL TIDY RETROSPOT ,10,2011-02-20 12:23:00,2.1,17811,United Kingdom
544466,84989A,75 GREEN FAIRY CAKE CASES,1,2011-02-20 15:43:00,0.55,14606,United Kingdom
544599,22212,FOUR HOOK  WHITE LOVEBIRDS,1,2011-02-21 18:15:00,4.13,,United Kingdom
544610,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-02-22 10:09:00,9.95,16912,United Kingdom
544684,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-02-22 16:32:00,16.63,,United Kingdom
544684,22595,GINGHAM HEART DECORATION,1,2011-02-22 16:32:00,1.63,,United Kingdom
544800,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-02-23 13:45:00,4.95,15687,United Kingdom
544839,22386,JUMBO BAG PINK POLKADOT,20,2011-02-24 10:50:00,1.95,14841,United Kingdom
545050,22669,RED BABY BUNTING ,5,2011-02-27 11:57:00,2.95,15951,United Kingdom
545081,21155,RED RETROSPOT PEG BAG,6,2011-02-28 10:35:00,2.55,16057,United Kingdom
545215,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,1,2011-02-28 16:47:00,6.63,,United Kingdom
545232,84741C,CITRUS GARLAND FELT FLOWERS ,6,2011-03-01 10:19:00,1.95,15676,United Kingdom
545295,84029E,RED WOOLLY HOTTIE WHITE HEART.,10,2011-03-01 12:09:00,3.75,12709,Germany
545340,22266,EASTER DECORATION HANGING BUNNY,24,2011-03-02 08:41:00,0.65,15416,United Kingdom
545398,21756,BATH BUILDING BLOCK WORD,12,2011-03-02 11:43:00,5.95,13722,United Kingdom
545428,21896,POTTING SHED TWINE,6,2011-03-02 14:43:00,2.1,14239,United Kingdom
545571,22990,COTTON APRON PANTRY DESIGN,2,2011-03-03 16:34:00,4.95,17700,United Kingdom
545580,22499,WOODEN UNION JACK BUNTING,3,2011-03-04 08:43:00,5.95,13931,United Kingdom
545676,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-03-06 10:26:00,0.42,15034,United Kingdom
545700,21975,PACK OF 60 DINOSAUR CAKE CASES,1,2011-03-06 14:57:00,0.55,17811,United Kingdom
545872,85099F,JUMBO BAG STRAWBERRY,2,2011-03-07 14:51:00,1.95,15752,United Kingdom
545897,21002,ROSE DU SUD DRAWSTRING BAG,1,2011-03-07 17:22:00,3.29,,United Kingdom
545901,21385,IVORY HANGING DECORATION  HEART,2,2011-03-07 17:52:00,0.85,15834,United Kingdom
546007,22134,MINI LADLE LOVE HEART RED ,2,2011-03-08 15:34:00,0.83,,United Kingdom
546079,22624,IVORY KITCHEN SCALES,1,2011-03-09 11:05:00,8.5,14534,United Kingdom
546108,22820,GIFT BAG BIRTHDAY,12,2011-03-09 12:35:00,0.65,15529,United Kingdom
546132,23009,I LOVE LONDON BABY GIFT SET,18,2011-03-09 15:17:00,14.95,15057,United Kingdom
546255,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-10 14:56:00,2.95,13468,United Kingdom
546261,21931,JUMBO STORAGE BAG SUKI,2,2011-03-10 15:01:00,1.95,17841,United Kingdom
546373,23007, SPACEBOY BABY GIFT SET,6,2011-03-11 12:00:00,14.95,12583,France
546406,84692,BOX OF 24 COCKTAIL PARASOLS,1,2011-03-11 16:21:00,0.83,,United Kingdom
546541,35241,ENAMEL BLUE RIM BISCUIT BIN,3,2011-03-14 15:11:00,4.95,14911,EIRE
546561,21189,WHITE HONEYCOMB PAPER GARLAND ,12,2011-03-15 10:34:00,1.65,18260,United Kingdom
546646,84519B,CARROT CHARLIE+LOLA COASTER SET,6,2011-03-15 13:49:00,1.25,13716,United Kingdom
546649,22668,PINK BABY BUNTING,3,2011-03-15 14:17:00,5.79,,United Kingdom
546654,22433,WATERING CAN GREEN DINOSAUR,1,2011-03-15 14:18:00,4.13,,United Kingdom
546762,20675,BLUE POLKADOT BOWL,2,2011-03-16 14:12:00,1.25,17961,United Kingdom
546908,21754,HOME BUILDING BLOCK WORD,3,2011-03-17 18:59:00,5.95,15648,United Kingdom
547002,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-03-18 14:02:00,1.25,12878,United Kingdom
547002,84086C,PINK/PURPLE RETRO RADIO,6,2011-03-18 14:02:00,2.95,12878,United Kingdom
547042,71053,WHITE METAL LANTERN,1,2011-03-20 11:00:00,8.29,,United Kingdom
547101,85099B,JUMBO BAG RED RETROSPOT,100,2011-03-21 10:34:00,1.65,16029,United Kingdom
547248,85131A,BEADED PEARL HEART WHITE ON STICK,6,2011-03-22 09:23:00,0.83,,United Kingdom
547253,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2011-03-22 10:44:00,2.55,13869,United Kingdom
547358,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,4,2011-03-22 12:25:00,2.55,15998,United Kingdom
547401,22570,FELTCRAFT CUSHION RABBIT,1,2011-03-22 17:00:00,3.75,17576,United Kingdom
547551,21086,SET/6 RED SPOTTY PAPER CUPS,1,2011-03-23 15:55:00,1.63,,United Kingdom
547552,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-03-23 15:55:00,16.63,,United Kingdom
547623,22979,PANTRY WASHING UP BRUSH,12,2011-03-24 11:29:00,1.45,15641,United Kingdom
547649,22384,LUNCH BAG PINK POLKADOT,2,2011-03-24 12:02:00,1.65,18118,United Kingdom
547687,22384,LUNCH BAG PINK POLKADOT,10,2011-03-24 14:52:00,1.65,15078,United Kingdom
547722,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-03-25 10:19:00,2.55,12553,France
547800,21912,VINTAGE SNAKES & LADDERS,1,2011-03-25 12:55:00,3.75,14504,United Kingdom
547888,21524,DOORMAT SPOTTY HOME SWEET HOME,6,2011-03-28 09:59:00,7.95,13368,United Kingdom
548003,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-03-29 10:39:00,12.75,18044,United Kingdom
548006,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-03-29 10:50:00,1.25,18226,United Kingdom
548203,22998,TRAVEL CARD WALLET KEEP CALM,93,2011-03-29 16:40:00,1,,United Kingdom
548373,21363,HOME SMALL WOOD LETTERS,1,2011-03-30 16:34:00,10.79,,United Kingdom
548388,21166,COOK WITH WINE METAL SIGN ,3,2011-03-30 16:52:00,2.08,13268,United Kingdom
548511,22845,VINTAGE CREAM CAT FOOD CONTAINER,5,2011-03-31 15:43:00,6.35,14056,United Kingdom
548551,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-01 08:56:00,1.65,14886,United Kingdom
